collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,ss,vss,vss,turb,alk,cl,f,toc,phenol,cn,cn,cn_wad,cn_wad,fog,radiochem,radiochem,fec_col,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
2011-10-17 00:00:00,ww_42,5.3,18.8,6.85,6.914,0.36,1.13,0.33,62.28,450.0,10.0,,3.0,,5.82,121.0,112.0,0.58,5.2,<5,0.009,,0.0014,,<5,,,2100.0,3.0,<0.05,<0.02,0.0182,0.015,0.217,0.21,<0.001,<0.001,51.38,50.37,<0.01,<0.003,<10,<0.02,<0.005,0.23,<0.2,<0.03,<0.03,16.04,15.65,0.0215,0.0182,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0013,<0.06,<0.02,,,,,,,
2011-10-17 00:00:00,ww_48,4.9,18.1,7.13,4.839,0.53,1.13,1.2,66.65,436.0,12.0,,2.0,,8.25,127.0,97.0,0.58,5.0,<5,0.006,,0.0014,,<5,,,610.0,2.6,<0.05,<0.02,0.018,0.0146,0.165,0.16,<0.001,<0.001,49.59,48.69,<0.01,<0.003,<10,<0.02,<0.005,0.38,<0.2,<0.03,<0.03,16.75,16.45,0.0304,0.0227,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,,,,,,,
2011-10-24 00:00:00,ww_49,9.4,12.2,7.54,0.315,<0.10,<0.50,<0.10,25.38,286.0,24.0,,2.0,,19.7,107.0,35.0,0.13,1.8,<5,<0.005,,0.0017,,,<1.20,<1.60,<10,0.9,<0.05,<0.02,0.0249,0.022,<0.06,<0.07,<0.001,<0.001,37.47,35.05,<0.01,<0.003,<10,<0.02,<0.005,0.9,<0.2,<0.03,<0.03,12.35,11.52,0.0318,0.006,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,7.3,,,,,,
2011-10-24 00:00:00,ww_50,10.1,12.4,8.2,0.027,<0.10,0.5,<0.10,47.11,240.0,9.0,,1.0,,8.52,81.0,95.0,0.39,5.0,<5,0.012,,<0.0010,,,<1.40,<1.70,<10,1.2,<0.05,<0.02,0.0313,0.0291,0.269,0.27,<0.001,<0.001,31.13,28.31,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,12.31,11.62,0.0264,0.0135,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.001,<0.06,<0.02,<2.5,,,,,,
2011-10-24 00:00:00,ww_86,1.0,12.1,7.25,0.044,3.58,4.52,0.62,68.73,464.0,12.0,,6.0,,12.4,244.0,73.0,0.46,8.2,7.0,0.007,,0.0019,,<5,,,490000.0,5.8,<0.05,<0.02,0.0398,0.0312,0.332,0.32,<0.001,<0.001,88.11,84.33,<0.01,<0.003,<10,<0.02,<0.005,1.43,<0.2,<0.03,<0.03,21.72,19.68,0.288,0.2493,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0024,<0.06,<0.02,,,,,,,
2011-10-24 00:00:00,ww_55,9.2,13.5,8.09,0.32,0.1,0.06,<0.10,38.54,248.0,8.0,,1.0,,7.03,105.0,55.0,0.19,2.1,<5,<0.005,,<0.0010,,,<1.20,<1.50,110.0,0.9,<0.05,<0.02,0.0279,0.0258,<0.06,<0.07,<0.001,<0.001,39.0,36.36,<0.01,<0.003,<10,<0.02,<0.005,0.3,<0.2,<0.03,<0.03,13.05,12.19,0.03,0.0132,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0011,<0.06,<0.02,3.1,,,,,,
2011-10-24 00:00:00,ww_56,7.0,13.0,7.39,1.679,0.1,0.25,0.39,46.17,300.0,7.0,,1.0,,5.97,115.0,69.0,0.25,2.8,<5,<0.005,,<0.0010,,<5,<1.20,2.0,210.0,0.8,<0.05,<0.02,0.0265,0.0249,0.088,0.09,<0.001,<0.001,44.0,41.95,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,14.97,14.14,0.0134,0.0083,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,,,,,,,
2011-10-24 00:00:00,ww_76,6.1,13.1,7.43,6.027,0.23,0.82,1.67,70.43,472.0,6.0,,1.0,,4.77,164.0,117.0,0.57,4.1,<5,0.007,,0.0014,,<5,<1.70,1.6,3500.0,1.0,<0.05,<0.02,0.0184,0.0164,0.183,0.19,<0.001,<0.001,63.2,60.96,<0.01,<0.003,<10,<0.02,<0.005,0.2,<0.2,<0.03,<0.03,20.91,20.1,0.0395,0.0315,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0016,<0.06,<0.02,,,,,,,
2011-10-24 00:00:00,ww_57,5.7,12.1,7.82,2.551,0.12,0.88,0.46,185.87,502.0,30.0,,4.0,,26.0,176.0,111.0,0.7,6.3,<5,0.006,,<0.0010,,,1.7,3.5,1100.0,4.9,<0.05,<0.02,0.0364,0.0317,0.179,0.18,<0.001,<0.001,70.6,69.76,<0.01,<0.003,<10,<0.02,<0.005,1.53,<0.2,<0.03,<0.03,29.0,27.6,0.0679,0.0434,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0019,<0.06,<0.02,5.2,,,,,,
2011-10-24 00:00:00,ww_58,6.7,15.2,7.33,5.286,0.2,0.93,1.58,88.94,528.0,26.0,,4.0,,16.1,163.0,113.0,0.59,4.6,<5,0.006,,0.0014,,<5,,,2800.0,1.7,<0.05,<0.02,0.0248,0.0177,0.181,0.18,<0.001,<0.001,63.69,61.75,<0.01,<0.003,<10,<0.02,<0.005,1.05,<0.2,<0.03,<0.03,22.0,20.7,0.0747,0.0514,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0017,<0.06,<0.02,,,,,,,
2011-10-24 00:00:00,ww_54,7.5,15.7,6.71,9.826,0.35,1.29,1.98,732.81,836.0,7.0,,1.0,,6.59,166.0,138.0,0.63,6.0,<5,0.007,,0.0014,,,<2.60,2.8,5200.0,2.8,<0.05,<0.02,0.0224,0.0207,0.285,0.28,<0.001,<0.001,72.6,69.75,<0.01,<0.003,<10,<0.02,<0.005,0.35,<0.2,<0.03,<0.03,27.17,26.11,0.0753,0.0655,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0019,<0.06,0.03,3.2,,,,,,
2011-10-24 00:00:00,ww_97,6.6,11.9,6.93,4.223,<0.10,0.86,0.99,421.23,976.0,33.0,,3.0,,24.1,183.0,131.0,0.44,5.3,<5,<0.005,,0.001,,,2.6,4.7,510.0,6.5,<0.05,<0.02,0.0367,0.0317,0.21,0.21,<0.001,<0.001,83.32,80.85,<0.01,<0.003,<10,<0.02,<0.005,1.34,<0.2,<0.03,<0.03,37.92,36.68,0.0733,0.0472,,<0.2,,0.0094,<0.008,<0.005,<0.03,<0.004,0.0022,<0.06,<0.02,7.3,,,,,,
2011-10-24 00:00:00,ww_52,7.6,12.7,7.27,1.972,0.29,1.2,0.3,68.02,392.0,42.0,,6.0,,28.9,157.0,89.0,0.84,8.5,<5,0.006,,0.0011,,,1.8,3.1,6800.0,5.7,<0.05,<0.02,0.0356,0.0287,0.111,0.11,<0.001,<0.001,60.51,58.47,<0.01,<0.003,<10,<0.02,<0.005,1.99,0.2,<0.03,<0.03,21.38,20.29,0.0915,0.0659,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0017,<0.06,<0.02,6.4,,,,,,
2011-10-24 00:00:00,ww_59,7.4,14.7,7.31,4.479,0.32,1.08,1.84,89.93,478.0,27.0,,5.0,,21.7,158.0,104.0,0.53,5.3,<5,0.005,,0.0014,,<5,,,1400.0,1.5,<0.05,<0.02,0.0244,0.0184,0.156,0.16,<0.001,<0.001,60.06,57.41,<0.01,<0.003,<10,<0.02,<0.005,0.98,<0.2,<0.03,<0.03,21.44,20.27,0.0533,0.0373,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0016,<0.06,<0.02,,,,,,,
2011-10-24 00:00:00,ww_43,8.3,17.1,7.26,3.348,0.28,0.72,1.6,74.99,382.0,34.0,,4.0,,20.6,115.0,84.0,0.44,5.1,<5,0.006,,0.0012,,<5,,,240.0,1.5,<0.05,<0.02,0.0208,0.0136,0.126,0.13,<0.001,<0.001,45.31,42.49,<0.01,<0.003,<10,<0.02,<0.005,1.05,<0.2,<0.03,<0.03,16.51,15.4,0.0592,0.0418,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,,,,,,,
2011-10-24 00:00:00,ww_92,6.1,16.1,7.39,5.995,0.29,1.04,0.94,90.38,456.0,15.0,,3.0,,9.64,124.0,110.0,0.6,4.0,<5,0.006,,0.0015,,<5,,,300.0,1.2,<0.05,<0.02,0.0196,0.015,0.183,0.19,<0.001,<0.001,50.01,47.92,<0.01,<0.003,<10,<0.02,<0.005,0.5,<0.2,<0.03,<0.03,17.39,16.37,0.0355,0.0238,,<0.2,,<0.008,<0.008,0.007,<0.03,<0.004,0.0015,<0.06,<0.02,,,,,,,
2011-10-31 00:00:00,ww_92,6.7,17.8,6.98,6.781,0.36,1.14,0.93,86.37,556.0,11.0,,2.0,,7.33,142.0,126.0,0.72,4.6,<5,0.005,,0.0013,,<5,,,120.0,2.1,<0.05,<0.02,0.0194,0.0166,0.219,0.22,<0.001,<0.001,57.48,55.46,<0.01,<0.003,<10,<0.02,<0.005,0.34,<0.2,<0.03,<0.03,20.18,19.3,0.0496,0.0384,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0015,<0.06,<0.02,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
report_limit,,1.0,,,0.04,0.1,0.5,0.1,2.0,60.0,4.0,,,,1.0,10.0,10.0,0.1,1.0,5.0,0.005,,0.001,,5.0,,,,,0.05,0.02,0.004,0.004,0.06,0.07,0.001,0.001,0.3,0.3,0.01,0.003,10.0,0.02,0.005,0.2,0.2,0.03,0.03,0.3,0.3,0.003,0.003,,0.2,,0.008,0.008,0.005,0.03,0.004,0.001,0.06,0.02,2.5,2.0,2.0,2.0,3.0,3.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l=_unable_to_confirm_result.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab_=_aliquot_never_arrived_at_the_laboratory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
note:_ww_77_dated_10/3/11__was_cancelled_due_to_insufficient_flow_for_sample_collection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ww_106_dated_10/10/11__was_cancelled_due_to_insufficient_flow_for_sample_collection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ww_39_dated_10/17/11_was_cancelled_due_to_sampling_point_out_of_service.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_soluble_>_total;_soluble_result_not_reported.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
