Location,TARP Connection,Owner,NPDES Permit #,Outfall #,Size,Waterway,Monitored or Unmonitored,PIPE_DESC,PIPE_INACT,PIPE_INA_1,COUNTY_NAM,NAME_1,LAT_DEC,LON_CONV
Leland Ave (E),I-84,Chicago,IL0045012,45,1.5',NBCR,U,LELAND AVENUE EAST,A,,COOK,CHICAGO CSOS,41.966667,-87.698611
Leland Ave (W),I-85,Chicago,IL0045012,44,1.25',NBCR,U,LELAND AVENUE WEST,A,,COOK,CHICAGO CSOS,41.966667,-87.699444
Giddings St (W),I-86,Chicago,IL0045012,43,1',NBCR,U,GIDDINGS STREET WEST,A,,COOK,CHICAGO CSOS,41.9675,-87.700278
Lawrence Ave (W),I-87,Chicago,IL0045012,41,5',NBCR,U,LAWRENCE AVENUE WEST,A,,COOK,CHICAGO CSOS,41.968611,-87.701944
Argyle St (W),I-88,Chicago,IL0045012,40,6',NBCR,U,ARGYLE STREET WEST,A,,COOK,CHICAGO CSOS,41.971944,-87.703611
Kedzie Ave (S),I-88,Chicago,IL0045012,35,1.25',NBCR,U,KEDZIE AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.974167,-87.708611
Foster Ave (W),I-89,Chicago,IL0045012,14,3.5',NSC,U,FOSTER AVENUE WEST,A,,COOK,CHICAGO CSOS,41.975556,-87.705
Bryn Mawr Ave (W),I-91,Chicago,IL0045012,12,5.5',NSC,U,BRYN MAWR AVENUE WEST,A,,COOK,CHICAGO CSOS,41.982778,-87.707222
Ardmore Ave (W),I-92,Chicago,IL0045012,9,2.75',NSC,U,,,,,,,
Thorndale Ave (W),I-93,Chicago,IL0045012,8,4.5',NSC,U,THORNDALE AVENUE WEST,A,,COOK,CHICAGO CSOS,41.988333,-87.708611
Peterson Ave (W),I-94,Chicago,IL0045012,7,5.5',NSC,U,PETERSON AVENUE WEST,A,,COOK,CHICAGO CSOS,41.990278,-87.709444
Devon Ave (W),I-95,Chicago,IL0045012,4,7.5',NSC,U,DEVON AVENUE WEST,A,,COOK,CHICAGO CSOS,41.997222,-87.710833
Forest Glen Ave (N),Indirect (DS-,Chicago,IL0045012,23,1.25',NBCR,U,FOREST GLEN AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.983056,-87.7525
Kenton Ave (N),Indirect (DS-,Chicago,IL0045012,28,2.25',NBCR,U,,,,,,,
Throop St (N),Indirect (DS-M35),Chicago,IL0045012,162,2',SBCR,U,THROOP STREET NORTH,A,,COOK,CHICAGO CSOS,41.848056,-87.658333
Stewart Ave (S),Indirect (DS-M41),Chicago,IL0045012,150,3',SBCR,U,STEWART AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.855,-87.636667
St. Clair St (Beaubien Ct) (N),Indirect (DS-M60),Chicago,IL0045012,108,2',CR,U,ST. CLAIR STREET NORTH,A,,COOK,CHICAGO CSOS,41.889167,-87.625
Grace St (W),Indirect (DS-M90),Chicago,IL0045012,60,1.5',NBCR,U,GRACE STREET WEST,A,,COOK,CHICAGO CSOS,41.950278,-87.696944
Washington St (W),Indirect (TG-M53),Chicago,IL0045012,125,12' X 9',SBCR,M,WASHINGTON STREET WEST,A,,COOK,CHICAGO CSOS,41.883056,-87.638611
Albany Ave (N),TG-I12,Chicago,IL0045012,178,9',CC,M,ALBANY AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.833056,-87.702222
Taylor St (W),TG-I28 & I29,Chicago,IL0045012,136,5.5' x 4.33',SBCR,M,TAYLOR STREET WEST,A,,COOK,CHICAGO CSOS,41.869722,-87.635278
Polk St (W),TG-I32,Chicago,IL0045012,134,3.42' x 4.5',SBCR,M,POLK STREET EAST,A,,COOK,CHICAGO CSOS,41.872222,-87.635
Cicero Ave (S),TG-I5,Chicago,IL0045012,186,9' x 7.5',CSSC,M,CICERO AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.818611,-87.743333
Pulaski Rd (S),TG-I8,Chicago,IL0045012,184,10.5',CSSC,M,PULASKI ROAD SOUTH,A,,COOK,CHICAGO CSOS,41.824722,-87.723889
Pulaski Rd (N),TG-I9,Chicago,IL0045012,183,8' x 8',CSSC,M,PULASKI ROAD NORTH,A,,COOK,CHICAGO CSOS,41.827222,-87.722778
Lawndale Ave (N),TG-M16,Chicago,IL0045012,182,7',CSSC,M,LAWNDALE AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.830278,-87.715
Oakley Ave (N),TG-M22,Chicago,IL0045012,172,10' x 8',CSSC,M,OAKLEY AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.838889,-87.682778
Beaubien Ct (St. Clair Street) (N),TG-M60,Chicago,IL0045012,106,9' x 8',CR,M,BEAUBIEN CT. SOUTH,A,,COOK,CHICAGO CSOS,41.888611,-87.623889
North Ave (W),TG-M71,Chicago,IL0045012,82,6',NBCR,M,NORTH AVENUE WEST,A,,COOK,CHICAGO CSOS,41.910833,-87.658056
Western Ave East Bank (N),TG-M81,Chicago,IL0045012,65,6',NBCR,M,WESTERN AVENUE EAST,A,,COOK,CHICAGO CSOS,41.936111,-87.687778
Ardmore Ave (E),TG-M94,Chicago,IL0045012,10,7' x 5.6',NSC,M,ARDMORE AVENUE EAST,A,,COOK,CHICAGO CSOS,41.986389,-87.707778
Nashville Ave P.S. (S),TG-NASH,Chicago,IL0045012,189,12' Tunnel,CSSC,M,NASHVILLE AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.804167,-87.789722
