Owner,NPDES Permit number,Outfall Number,Location,Size,Waterway,TARP Connection,Monitored or Unmonitored,TARP Connection
Chicago,IL0045012,189,Nashville Ave P.S. (S),12' Tunnel,CSSC,TG-NASH,M,
Des Plaines,Not Permitted,NP,Algonquin Rd (South of bridge) (W),2.5',DPR,DS-D02,U ,
Des Plaines,Not Permitted,NP,Algonquin Rd (North of bridge) (W),3',DPR,DS-D02,U ,
Des Plaines,Not Permitted,NP,Des Plaines River Rd at Riverview Ave (W),7',DPR,DS-D03R,M ,
Des Plaines,ILM580026,1,Howard Ave (W )),5',DPR,None,U ,
Evanston,ILM580002,13,Mulford St (E),5',NSC,DS-M101,U ,
Evanston,ILM580002,12,Oakton (E),2',NSC,DS-M102,U ,
Evanston,ILM580002,5,Bridge St (N),1.67',NSC,DS-M106W,U ,
Evanston,ILM580002,A07,Emerson St (W )),5',NSC,DS-M107-2,M ,
Evanston,ILM580002,6,Elgin Road (Emerson St) (E),9',NSC,DS-M107-2,U ,
Evanston,ILM580002,A06,Emerson St (E),3',NSC,DS-M108,U ,
Evanston,ILM580002,4,Asbury Ave (E),3',NSC,DS-M110,U ,
Evanston,ILM580002,A01,Isabella St (E),1.5',NSC,DS-M112,U ,
Evanston,Not Permitted,NP,Green Bay Rd (Grant St & McCormick Blvd (N),4',NSC,I-108,U ,
Evanston,ILM580002,3,Lincoln St (N),3',NSC,I-109,U ,
Evanston,ILM580002,9,Greenleaf St (E),5',NSC,TG-M105E,M,
Forest View,Not Permitted,NP,Grove Ave (N),2.25' &amp; 5' x 3.17',CSSC,DS-M07,U,
Franklin Park,ILM580029,4,Belmont Ave (W )),11',DPR,DS-D14,M ,
Golf,IL0072389,1,Golf Rd (E),1.25',W F-NBCRF-NBCR,Indirect (DS-N20),U,
Harvey,ILM580020,2,Center Ave (E),7',LCalR,CDS-41,M ,
Harvey,ILM580020,3,Union St (W )),6.5',LCalR,CDS-42,M ,
Harvey,ILM580020,5,Illinois Central Railroad (E),2.5',LCalR,CDS-43,M ,
Harvey,ILM580020,6,147th St (N),2',LCalR,CDS-45,M ,
Harvey,ILM580020,7,149th St (E),2.5',LCalR,CDS-45,M,
IL American ,Not Permitted,,Mt Prospect (S),3.5',Weller Creek,DS-UD5,M,
LaGrange,ILM580009,2,Drexal Ave (S),2',SC,DS-13A-68,U ,
LaGrange,ILM580009,1,41st &amp; Custer (Konrad Ave) (S),6.5',SC,"DS-D47,50,51 & DS-13A-1 ",M,
LaGrange Park,ILM580008,1,Jackson Ave (E),2',SC,DS-13A-53,U ,
LaGrange Park,ILM580008,2,Brainard and Monroe (E),2.5',SC,DS-13A-53,U ,
LaGrange Park,ILM580008,4,31st St (South of Harding at SC) (S),2',SC,DS-13A-54,U ,
Lagrange Park,ILM580032,3,Logan Ave (31st St) (W )),6',SC,"DS-D37,38",M,
Lansing / Calumet City,ILM580027 ,002 / 005,Burnham Ave (170th St) (S),8',LCalR,CDS-55,M ,
Lemont,,2,Stephen St (S),5.5',I&M Canal,None,U,
Lemont,,3,Stephen St (S),5.5',CSSC,None,U,
Lincolnwood,ILM580034,2,Pratt Ave (W),7',NSC,I-96,U,
Lyons,ILM580004,3,47th St (41st St &amp; DesPlaines River) (W) ,5',DPR,DS-13A-4,M,
Markham,ILM580028,1,161st St. and Damen Ave (Markham PS) (N),2',CUDD,CDS-57,M,
Maywood,Not Permitted,NP,Lake St. (Just S. of the Bridge) (W),2',DPR,"DS-D21,25",M ,
Maywood,ILM580022,3,Lake St. (approx. 200' S. of the bridge) (W) ,2.5',DPR,"DS-D21,25",M ,
Maywood,ILM580022,2,Rice St (W),2.5',DPR,"DS-D22,24,25",M ,
Maywood,Not Permitted,NP,Huron/Superior Street (Forest Preserve) (W) ,3',DPR,"DS-D22,24,25",M ,
Maywood,Not Permitted,NP,N. of 1st Ave. &amp; Oak St. (W )),2.5',DPR,DS-D27I,M ,
Maywood,ILM580022,4,1st Ave & Oak St (W),4.5',DPR,DS-D27I,M ,
Maywood,ILM580022,6,School Street ext. (South of Washington Blvd Washington Blvd W ) ,3.5',DPR,DS-D31,M ,
Morton Grove,ILM580005,1,Church St (Austin Avenue) (E),4.75',NBCR,DS-N20,U ,
Mt. Prospect,Not Permitted,NP,S of Lincoln St (E),1.5',Weller Creek,None (K3),M ,
MWRD / Lincolnwood,IL0028088/ILM580034 ,106 / 001,Morse Ave Ext. (No. of Pratt Ave) (W) ,7',NSC,I-97,U ,
Niles,ILM580035,6,Jarvis Ave (350 feet east of School St) (W),1',NBCR,DS-N15,U,
Niles,ILM580035,7,Niles Terrace (350 feet east of School St) (W),1.25',NBCR,DS-N15,U,
Niles,Not Permitted,NP,Howard (W),1.5',NBCR,Indirect (DS-N16),U,
Park Ridge,ILM580014,5,Algonquin Road (bridge abutment) (E),7',DPR,DS-D02,M,
Park Ridge,ILM580014,2,Howard St / Sibley Ave (E),5.5',DPR,DS-D05,M,
Park Ridge,ILM580014,3,Touhy Ave (E),6',DPR,DS-D06,M,
Park Ridge,ILM580014,4,Devon Ave (E),8.5',DPR,DS-D07,M,
Phoenix,IL0072834,1,9th Ave ext. &amp; 151st St (S),4',LCalR,CDS-45,M,
River Grove,ILM580021,4,Fullerton Ave ext. (W),1.75',DPR,DS-D17,M,
Riverdale,Not Permitted,NP,Wabash (IL Central RR) (S),1.5',LCalR,CDS-15,U,
Riverdale,ILM580007,3,Wabash St (ACME Steel) (S),4',LCalR,CDS-15-2,M,
Riverdale,Not Permitted,NP,Extended State St  (ACME Steel) (ICC &amp; Wabash extended,2.5',LCalR,CDS-15-3,U,
Riverside,ILM580015,10,Near Junction of Gage &amp; Riverside Rd (N),4',DPR,"DS-D44,45",M,
Riverside,ILM580015,11,Blackhawk Rd ext. (E),1.25',DPR,"DS-D44,45",M,
Riverside,Not Permitted,NP,31st Street (E),3',DPR,None,U,
Riverside,ILM580015,7,Barrypoint Bridge (N),2',DPR,None,U,
Robbins,Not Permitted,NP,Keeler Avenue (S),2',CSC,CI-1,U,
Robbins,Not Permitted,NP,St. Louis Avenue (S),1.5',CSC,CI-2,U,
Robbins,Not Permitted,NP,Homan Avenue (S),2',CSC,CI-3,U,
Skokie,ILM580036,5,Main St (W),7',NSC,DS-M104,M,
Skokie,ILM580036,3,Emerson St (W),7',NSC,DS-M107-1,M,
Skokie,ILM580036,4,Lake St (W),3.5',NSC,I-104,U,
Skokie,ILM580036,1,Howard St &amp; McCormick Bl (W),7',NSC,I-99,U,
South Holland,ILM580010,2,South Park Ave (S),4',LCalR,C-1,M,
South Holland,ILM580010,4,152nd St ext. West Structure No.1 (149th St) (W),2',LCalR,CDS-45,M,
South Holland,Not Permitted,NP,162nd Street /159th Street and Indiana Avenue (E),1.25',CUDD,Indirect  (CDS-47),U,
South Holland,ILM580010,5,153rd St &amp; Dearborn ext. (S),0.83',LCalR,Indirect (CDS-47),U,
Summit,ILM580033,1,Park Acres Subdivision (N),2',CSSC,DS-M5B,U,
Summit,ILM580033,3,Argo (63rd St) (E),4',CSSC,Indirect (DS-M03),U,
Western Springs,IL0045039,Unknown,Howard Ave (Harding Ave) (S),4.5',SC,DS-13A-55,U,
Western Springs,IL0045039,Unknown,Grove Ave (S),3',SC,DS-13A-56,U,
Wilmette,ILM580012,2,Laurel (E),1.25' &amp; 1',NSC,DS-M113,U,
Wilmette,ILM580012,1,Sheridan Rd (W),8',NSC,DS-M114N-2,M,
,,,,,,,,002 Lemont WRP
,,,,,,,,122ND ST PS (CDS-28)
,,,,,,,,125TH ST PS (CDS-13)
,,,,,,,,125th St PS
,,,,,,,,95TH ST PS (CDS-34)
,,,,,,,,95th St PS
,,,,,,,,CDS-11
,,,,,,,,CDS-2
,,,,,,,,CDS-20-1
,,,,,,,,CDS-20-2
,,,,,,,,CDS-4
,,,,,,,,CDS15
,,,,,,,,CDS20-1
,,,,,,,,CDS20-2
,,,,,,,,CDS20-b
,,,,,,,,CRCW
,,,,,,,,D39
,,,,,,,,D8
,,,,,,,,DS-D09
,,,,,,,,"DS-D19,23"
,,,,,,,,DS-M13
,,,,,,,,DSM106
,,,,,,,,DSM107
,,,,,,,,DSM109
,,,,,,,,DSM114N
,,,,,,,,DSM90
,,,,,,,,DSN6
,,,,,,,,K1/UDP1
,,,,,,,,K11/UDP3
,,,,,,,,K14/UDP3
,,,,,,,,K1A/UDP1A
,,,,,,,,K2/UDP1
,,,,,,,,K22
,,,,,,,,K25/UDP5
,,,,,,,,K26/UDP8
,,,,,,,,K27/UDP8
,,,,,,,,K3/UDP2
,,,,,,,,MS104
,,,,,,,,MS105W
,,,,,,,,MS109N
,,,,,,,,MS15
,,,,,,,,MS16
,,,,,,,,MS3
,,,,,,,,MS81
,,,,,,,,MS84
,,,,,,,,MS88
,,,,,,,,MWRD DS-M114N
,,,,,,,,NB10A
,,,,,,,,NB10B
,,,,,,,,NB11
,,,,,,,,NB13R
,,,,,,,,NB17
,,,,,,,,NB18
,,,,,,,,NB3
,,,,,,,,NB5
,,,,,,,,NB8
,,,,,,,,NBPS
,,,,,,,,NBPS (DS-M90 & DS-M91)
,,,,,,,,Obrien
,,,,,,,,PULASKI RD PS (18E-PS)
,,,,,,,,Pulaski Road(TARP relief)
,,,,,,,,RAPS
,,,,,,,,"RAPS (DS-M27, DS-M28, DS-M29)"
,,,,,,,,TG-13A
,,,,,,,,TG132
,,,,,,,,TG13A
,,,,,,,,TGI12
,,,,,,,,TGI8
,,,,,,,,TGI9
,,,,,,,,TGM105
,,,,,,,,TGM5
,,,,,,,,TGM71
,,,,,,,,TGNASH
,,,,,,,,UDP-DS1 (K2-1&K2-2)
,,,,,,,,WCPS
,,,,,,,,WCPS (DS-D34-AI)
,,,,,,,,Wilmette
,,,,,,,,"Wilmette DS-M114N-2"""
