collect,time,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,chloroph,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,o_xylene,m__and/or_p_xylenes,xylenes_(total),,
2012-02-27 00:00:00,945.0,ww_50,11.9,3.0,7.59,<0.15,<0.1,1.37,<0.1,50.53,386.0,21.0,6.0,3.87,114.0,,93.0,0.34,5.1,<5,<0.005,<0.001,,<1.40,4.0,<10,11.5,,<0.05,<0.02,0.037,0.033,0.23,0.23,<0.001,<0.001,45.0,42.0,<0.005,<0.005,<6,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,13.0,13.0,0.111,0.018,,<0.2,,<0.005,<0.005,<0.005,0.006,0.001,0.001,0.01,<0.01,<2.5,,,,,,,,
2012-02-27 00:00:00,1025.0,ww_86,13.6,3.4,8.01,0.393,0.12,1.3,0.16,131.6,892.0,10.0,8.0,5.85,296.0,,219.0,0.75,9.0,<5,<0.005,0.0013,<5,,,<10,95.2,,<0.05,<0.02,0.036,0.034,0.93,0.96,<0.001,<0.001,106.0,104.0,<0.005,<0.005,<6,<0.005,<0.005,0.4,<0.1,<0.02,<0.02,40.0,40.0,0.087,0.085,,<0.2,,<0.005,<0.005,<0.005,0.007,0.002,0.002,0.02,0.01,,,,,,,,,
2012-02-27 00:00:00,1050.0,ww_55,12.6,4.1,8.26,0.665,0.18,<1,<0.1,78.96,524.0,<4,1.0,2.24,120.0,,152.0,0.32,3.5,<5,<0.005,<0.001,,<1.80,3.0,<10,1.7,,<0.05,<0.02,0.031,0.029,0.18,0.19,<0.001,<0.001,50.0,49.0,<0.005,<0.005,<6,<0.005,<0.005,0.1,<0.1,<0.02,<0.02,17.0,17.0,0.021,0.014,,<0.2,,<0.005,<0.005,<0.005,0.005,0.001,0.001,0.01,0.01,<2.5,,,,,,,,
2012-02-27 00:00:00,930.0,ww_56,12.7,4.7,7.02,3.585,0.21,1.08,1.18,92.94,958.0,12.0,4.0,10.7,162.0,,190.0,0.48,5.2,<5,<0.005,0.0011,<5,<2.20,4.5,150.0,37.1,,<0.05,<0.02,0.028,0.027,0.2,0.21,<0.001,<0.001,68.0,67.0,<0.005,<0.005,<6,0.007,<0.005,0.3,<0.1,<0.02,<0.02,24.0,24.0,0.038,0.028,,<0.2,,0.005,<0.005,<0.005,<0.005,0.002,0.001,0.02,0.02,,,,,,,,,
2012-02-27 00:00:00,1000.0,ww_76,6.5,7.1,7.36,6.003,0.42,1.25,2.26,105.38,920.0,9.0,3.0,5.67,184.0,,302.0,0.59,5.4,<5,<0.005,0.0018,<5,<2.50,3.6,2200.0,7.0,,<0.05,<0.02,0.025,0.022,0.18,0.19,<0.001,<0.001,80.0,79.0,<0.005,<0.005,<6,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,28.0,28.0,0.032,0.025,,<0.2,,<0.005,<0.005,0.005,0.005,0.002,0.002,0.04,0.03,,,,,,,,,
2012-02-27 00:00:00,1025.0,ww_57,7.7,3.7,7.31,2.626,0.16,<1,0.27,192.63,994.0,8.0,2.0,13.1,218.0,,316.0,0.52,4.7,<5,<0.005,0.0018,,<2.70,3.2,550.0,5.0,,<0.05,<0.02,0.04,0.036,0.16,0.16,<0.001,<0.001,91.0,88.0,<0.005,<0.005,<6,0.053,<0.005,0.7,<0.1,<0.02,<0.02,36.0,35.0,0.1,0.088,,<0.2,,<0.005,<0.005,<0.005,0.006,0.002,0.002,0.02,0.01,<2.5,,,,,,,,
2012-02-27 00:00:00,1050.0,ww_58,8.1,7.3,7.11,3.981,0.27,1.14,1.29,140.55,994.0,20.0,4.0,14.2,196.0,,333.0,0.5,4.8,<5,<0.005,0.002,<5,,,1100.0,3.7,,<0.05,<0.02,0.034,0.028,0.15,0.16,<0.001,<0.001,84.0,80.0,<0.005,<0.005,<6,0.099,0.008,0.7,<0.1,<0.02,<0.02,31.0,30.0,0.107,0.072,,<0.2,,0.005,<0.005,<0.005,0.007,0.002,0.002,0.04,0.02,,,,,,,,,
2012-02-27 00:00:00,905.0,ww_54,9.4,5.7,7.01,7.284,<0.1,<1,0.73,687.48,1676.0,<4,2.0,3.34,219.0,,246.0,0.51,4.3,<5,<0.005,0.0014,,<2.90,2.4,7100.0,3.1,,<0.05,<0.02,0.03,0.028,0.25,0.24,<0.001,<0.001,95.0,94.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,<0.1,<0.02,<0.02,37.0,37.0,0.052,0.046,,<0.2,,<0.005,<0.005,<0.005,0.006,0.002,0.002,0.03,0.03,<2.5,,,,,,,,
2012-02-27 00:00:00,940.0,ww_97,8.5,4.5,6.98,3.261,<0.1,<1,0.32,336.42,964.0,13.0,2.0,9.7,223.0,,290.0,0.37,4.2,<5,<0.005,0.0014,,<2.70,3.9,1300.0,5.5,,<0.05,<0.02,0.039,0.035,0.16,0.16,<0.001,<0.001,96.0,90.0,<0.005,<0.005,<6,<0.005,<0.005,0.7,<0.1,<0.02,<0.02,38.0,36.0,0.076,0.064,,<0.2,,<0.005,<0.005,0.005,0.009,0.002,0.002,0.02,0.01,<2.5,,,,,,,,
2012-02-27 00:00:00,1005.0,ww_52,9.6,2.2,7.41,2.878,0.16,1.06,0.3,93.77,700.0,21.0,4.0,18.8,223.0,,159.0,1.07,6.1,<5,<0.005,0.0011,,<2.10,3.4,2200.0,7.6,,<0.05,<0.02,0.04,0.034,0.15,0.15,<0.001,<0.001,88.0,85.0,<0.005,<0.005,<6,<0.005,<0.005,1.4,<0.1,<0.02,<0.02,35.0,34.0,0.092,0.08,,<0.2,,<0.005,<0.005,<0.005,<0.005,0.002,0.002,0.02,0.01,<2.5,,,,,,,,
2012-02-27 00:00:00,1050.0,ww_59,7.1,6.1,6.98,5.047,0.64,2.82,2.2,118.52,1042.0,17.0,3.0,12.0,176.0,,386.0,0.54,4.9,<5,0.005,0.0034,<5,,,7700.0,4.2,,<0.05,<0.02,0.03,0.025,0.18,0.18,<0.001,<0.001,80.0,76.0,<0.005,<0.005,<6,<0.005,<0.005,0.5,<0.1,<0.02,<0.02,28.0,27.0,0.049,0.041,,<0.2,,<0.005,<0.005,<0.005,0.005,0.002,0.001,0.03,0.02,,,,,,,,,
2012-02-27 00:00:00,1140.0,ww_43,5.5,5.3,7.11,5.774,0.45,4.66,1.59,150.75,958.0,10.0,3.0,7.55,201.0,,281.0,0.61,5.2,<5,<0.005,0.0025,<5,,,140.0,3.6,,<0.05,<0.02,0.029,0.026,0.21,0.21,<0.001,<0.001,87.0,85.0,<0.005,<0.005,<6,<0.005,<0.005,0.4,<0.1,<0.02,<0.02,33.0,33.0,0.05,0.045,,<0.2,,0.005,<0.005,0.005,0.005,0.002,0.002,0.02,0.02,,,,,,,,,
2012-02-27 00:00:00,1140.0,ww_92,6.9,10.9,7.26,6.404,0.77,1.64,1.22,108.37,850.0,7.0,3.0,5.52,168.0,,271.0,0.7,5.7,<5,<0.005,0.0024,<5,,,250.0,1.9,,<0.05,<0.02,0.024,0.021,0.28,0.28,<0.001,<0.001,75.0,71.0,<0.005,<0.005,<6,0.011,<0.005,0.3,<0.1,<0.02,<0.02,27.0,26.0,0.059,0.051,,<0.2,,0.01,0.009,<0.005,0.006,0.002,0.001,0.03,0.03,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reporting_limit,,,,,,0.15,0.1,1.0,0.1,5.0,60.0,4.0,,1.0,10.0,,10.0,0.1,1.0,5.0,0.005,0.001,5.0,,,10.0,,,0.05,0.02,0.004,0.004,0.05,0.05,0.001,0.001,1.0,1.0,0.005,0.005,6.0,0.005,0.005,0.1,0.1,0.02,0.02,1.0,1.0,0.001,0.001,,0.2,,0.005,0.005,0.005,0.005,0.001,0.001,0.01,0.01,0.5*,2.0,2.0,2.0,3.0,3.0,3.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*_ll_hg:_based_on_the_sample_matrix_some_samples_need_to_be_diluted_x2,_x5_and_x10.__the_reporting_limit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"of_0.5_ng/l_for_ll_hg_will_then_change_by_the_same_factor_resulting_in_reporting_limits_of_1.0,_2.5,_and_5.0_ng/l_respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_=_method_blank_criteria_exceeded;_insufficient_volume_for_reanalysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e_=_expired_reagent_used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_=_soluble_>_total:_soluble_result_not_reported.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
